system,date,datetime_utc,datetime_local,moon,dra_arcsec,ddec_arcsec
Jupiter,2027-12-31,2027-12-31T00:00:00,2027-12-31T10:00:00+10:00,Io,16.869,-3.744
Jupiter,2027-12-31,2027-12-31T01:00:00,2027-12-31T11:00:00+10:00,Io,1.762,3.492
Jupiter,2027-12-31,2027-12-31T02:00:00,2027-12-31T12:00:00+10:00,Io,-13.344,10.692
Jupiter,2027-12-31,2027-12-31T03:00:00,2027-12-31T13:00:00+10:00,Io,-28.235,17.676
Jupiter,2027-12-31,2027-12-31T04:00:00,2027-12-31T14:00:00+10:00,Io,-42.443,24.228
Jupiter,2027-12-31,2027-12-31T05:00:00,2027-12-31T15:00:00+10:00,Io,-55.715,30.24
Jupiter,2027-12-31,2027-12-31T06:00:00,2027-12-31T16:00:00+10:00,Io,-67.765,35.604
Jupiter,2027-12-31,2027-12-31T07:00:00,2027-12-31T17:00:00+10:00,Io,-78.303,40.176
Jupiter,2027-12-31,2027-12-31T08:00:00,2027-12-31T18:00:00+10:00,Io,-87.152,43.848
Jupiter,2027-12-31,2027-12-31T09:00:00,2027-12-31T19:00:00+10:00,Io,-94.058,46.548
Jupiter,2027-12-31,2027-12-31T10:00:00,2027-12-31T20:00:00+10:00,Io,-98.878,48.24
Jupiter,2027-12-31,2027-12-31T11:00:00,2027-12-31T21:00:00+10:00,Io,-101.503,48.888
Jupiter,2027-12-31,2027-12-31T12:00:00,2027-12-31T22:00:00+10:00,Io,-101.935,48.384
Jupiter,2027-12-31,2027-12-31T13:00:00,2027-12-31T23:00:00+10:00,Io,-100.029,46.872
Jupiter,2027-12-31,2027-12-31T14:00:00,2028-01-01T00:00:00+10:00,Io,-96.0,44.316
Jupiter,2027-12-31,2027-12-31T15:00:00,2028-01-01T01:00:00+10:00,Io,-89.85,40.788
Jupiter,2027-12-31,2027-12-31T16:00:00,2028-01-01T02:00:00+10:00,Io,-81.685,36.36
Jupiter,2027-12-31,2027-12-31T17:00:00,2028-01-01T03:00:00+10:00,Io,-71.793,31.104
Jupiter,2027-12-31,2027-12-31T18:00:00,2028-01-01T04:00:00+10:00,Io,-60.283,25.2
Jupiter,2027-12-31,2027-12-31T19:00:00,2028-01-01T05:00:00+10:00,Io,-47.479,18.756
Jupiter,2027-12-31,2027-12-31T20:00:00,2028-01-01T06:00:00+10:00,Io,-33.631,11.88
Jupiter,2027-12-31,2027-12-31T21:00:00,2028-01-01T07:00:00+10:00,Io,-19.063,4.752
Jupiter,2027-12-31,2027-12-31T22:00:00,2028-01-01T08:00:00+10:00,Io,-4.064,-2.484
Jupiter,2027-12-31,2027-12-31T23:00:00,2028-01-01T09:00:00+10:00,Io,11.042,-9.684
Jupiter,2027-12-31,2028-01-01T00:00:00,2028-01-01T10:00:00+10:00,Io,25.897,-16.596
Jupiter,2027-12-31,2027-12-31T00:00:00,2027-12-31T10:00:00+10:00,Europa,-55.248,33.192
Jupiter,2027-12-31,2027-12-31T01:00:00,2027-12-31T11:00:00+10:00,Europa,-66.362,38.196
Jupiter,2027-12-31,2027-12-31T02:00:00,2027-12-31T12:00:00+10:00,Europa,-77.116,43.02
Jupiter,2027-12-31,2027-12-31T03:00:00,2027-12-31T13:00:00+10:00,Europa,-87.511,47.592
Jupiter,2027-12-31,2027-12-31T04:00:00,2027-12-31T14:00:00+10:00,Europa,-97.367,51.912
Jupiter,2027-12-31,2027-12-31T05:00:00,2027-12-31T15:00:00+10:00,Europa,-106.755,55.944
Jupiter,2027-12-31,2027-12-31T06:00:00,2027-12-31T16:00:00+10:00,Europa,-115.567,59.688
Jupiter,2027-12-31,2027-12-31T07:00:00,2027-12-31T17:00:00+10:00,Europa,-123.768,63.108
Jupiter,2027-12-31,2027-12-31T08:00:00,2027-12-31T18:00:00+10:00,Europa,-131.321,66.204
Jupiter,2027-12-31,2027-12-31T09:00:00,2027-12-31T19:00:00+10:00,Europa,-138.227,68.976
Jupiter,2027-12-31,2027-12-31T10:00:00,2027-12-31T20:00:00+10:00,Europa,-144.306,71.352
Jupiter,2027-12-31,2027-12-31T11:00:00,2027-12-31T21:00:00+10:00,Europa,-149.701,73.404
Jupiter,2027-12-31,2027-12-31T12:00:00,2027-12-31T22:00:00+10:00,Europa,-154.305,74.988
Jupiter,2027-12-31,2027-12-31T13:00:00,2027-12-31T23:00:00+10:00,Europa,-158.046,76.248
Jupiter,2027-12-31,2027-12-31T14:00:00,2028-01-01T00:00:00+10:00,Europa,-160.995,77.04
Jupiter,2027-12-31,2027-12-31T15:00:00,2028-01-01T01:00:00+10:00,Europa,-163.046,77.472
Jupiter,2027-12-31,2027-12-31T16:00:00,2028-01-01T02:00:00+10:00,Europa,-164.269,77.472
Jupiter,2027-12-31,2027-12-31T17:00:00,2028-01-01T03:00:00+10:00,Europa,-164.593,77.04
Jupiter,2027-12-31,2027-12-31T18:00:00,2028-01-01T04:00:00+10:00,Europa,-164.053,76.212
Jupiter,2027-12-31,2027-12-31T19:00:00,2028-01-01T05:00:00+10:00,Europa,-162.65,75.024
Jupiter,2027-12-31,2027-12-31T20:00:00,2028-01-01T06:00:00+10:00,Europa,-160.348,73.368
Jupiter,2027-12-31,2027-12-31T21:00:00,2028-01-01T07:00:00+10:00,Europa,-157.219,71.352
Jupiter,2027-12-31,2027-12-31T22:00:00,2028-01-01T08:00:00+10:00,Europa,-153.263,68.94
Jupiter,2027-12-31,2027-12-31T23:00:00,2028-01-01T09:00:00+10:00,Europa,-148.443,66.168
Jupiter,2027-12-31,2028-01-01T00:00:00,2028-01-01T10:00:00+10:00,Europa,-142.832,63.072
Jupiter,2027-12-31,2027-12-31T00:00:00,2027-12-31T10:00:00+10:00,Ganymede,216.494,-97.776
Jupiter,2027-12-31,2027-12-31T01:00:00,2027-12-31T11:00:00+10:00,Ganymede,211.135,-94.896
Jupiter,2027-12-31,2027-12-31T02:00:00,2027-12-31T12:00:00+10:00,Ganymede,205.524,-91.872
Jupiter,2027-12-31,2027-12-31T03:00:00,2027-12-31T13:00:00+10:00,Ganymede,199.589,-88.704
Jupiter,2027-12-31,2027-12-31T04:00:00,2027-12-31T14:00:00+10:00,Ganymede,193.439,-85.464
Jupiter,2027-12-31,2027-12-31T05:00:00,2027-12-31T15:00:00+10:00,Ganymede,187.036,-82.08
